experiment,n_runs,accuracy,accuracy_ci_low,accuracy_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high,auc,auc_ci_low,auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,brier,brier_ci_low,brier_ci_high,mcc,mcc_ci_low,mcc_ci_high,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,train_time_sec,train_time_sec_ci_low,train_time_sec_ci_high,predict_time_sec,predict_time_sec_ci_low,predict_time_sec_ci_high
DISJOINT_AverageScore,5,0.9662842012356576,0.9647878816801759,0.9677805207911393,0.969627301979456,0.9669673778358211,0.9722872261230909,0.9529344073647872,0.949330069579239,0.9565387451503353,0.9767003367003367,0.9745567121596808,0.9788439612409927,0.9612007741146418,0.9594434905406642,0.9629580576886193,0.993597785811058,0.9931400786667702,0.9940554929553457,0.9925177577005325,0.9919570697678644,0.9930784456332007,0.036405133640918574,0.03584372776358449,0.036966539518252656,0.9315157676753423,0.9284790878686301,0.9345524474820545,0.023299663299663258,0.02115603875900725,0.025443287840319264,0.047065592635212816,0.0434612548496646,0.05066993042076103,0.0,0.0,0.0,0.005479800025932439,0.003625944002916845,0.007333656048948034
DISJOINT_LearnedLateFusion,5,0.9739503215231371,0.9724621875846196,0.9754384554616546,0.9691363489444953,0.9656869861748506,0.97258571171414,0.9715189873417722,0.969709335971788,0.9733286387117565,0.975847362514029,0.9730454321595458,0.9786492928685123,0.9703209886568448,0.9686655990357651,0.9719763782779245,0.9961974947015223,0.9960127420692293,0.9963822473338153,0.9955858668365029,0.9953928408055652,0.9957788928674405,0.0202488805861871,0.01969205998634532,0.02080570118602888,0.9471202385939275,0.944119974492803,0.9501205026950519,0.02415263748597078,0.021350707131487498,0.02695456784045406,0.028481012658227778,0.026671361288243465,0.03029066402821209,0.0784204599796794,0.07422593928956606,0.08261498066979275,0.0017402800032868403,0.0017083480965000176,0.001772211910073663
DISJOINT_QuantumInspiredTrustGraph,5,0.9741520615307022,0.9727047061449946,0.9755994169164098,0.9676465797590088,0.9643318902715713,0.9709612692464463,0.9735903337169158,0.9720317756660685,0.9751488917677632,0.9745903479236813,0.9718947476168979,0.9772859482304647,0.9706049042787909,0.9689977396351709,0.9722120689224109,0.9965792240264815,0.9963304872144686,0.9968279608384943,0.9960047074567168,0.9957798907702089,0.9962295241432246,0.01985012662953128,0.019210705377501892,0.02048954788156067,0.9475617886810188,0.9446485746685143,0.9504750026935234,0.0254096520763187,0.0227140517695354,0.028105252383102,0.026409666283083937,0.02485110823223657,0.027968224333931303,3.8597572600003334,3.795145702416131,3.924368817584536,0.8892549799871631,0.8726402620847878,0.9058696978895383
DISJOINT_TrueMajorityVote,5,0.9662842012356576,0.9647878816801759,0.9677805207911393,0.969627301979456,0.9669673778358211,0.9722872261230909,0.9529344073647872,0.949330069579239,0.9565387451503353,0.9767003367003367,0.9745567121596808,0.9788439612409927,0.9612007741146418,0.9594434905406642,0.9629580576886193,0.9648173720325619,0.9631852618228834,0.9664494822422404,0.9446150029970519,0.9421511868015725,0.9470788191925313,0.03371579876434242,0.03221947920886078,0.035212118319824064,0.9315157676753423,0.9284790878686301,0.9345524474820545,0.023299663299663258,0.02115603875900725,0.025443287840319264,0.047065592635212816,0.0434612548496646,0.05066993042076103,0.0,0.0,0.0,0.0037840600009075797,0.0020605023442084405,0.0055076176576067185
DISJOINT_TrustGraphArbitration,5,0.9744546715420501,0.9730952235946351,0.9758141194894652,0.9684694082768696,0.9654756569383692,0.9714631596153699,0.9734177215189874,0.9717679903266329,0.975067452711342,0.9752637485970819,0.9728284470566937,0.97769905013747,0.9709334381985713,0.9694173854677963,0.9724494909293462,0.9966042021028596,0.9963570993599469,0.9968513048457723,0.9959780869252068,0.9957041984450355,0.9962519754053781,0.019763563762509102,0.01913943305422654,0.020387694470791664,0.9481644706361465,0.9454248365599526,0.9509041047123404,0.02473625140291802,0.022300949862529933,0.027171552943306105,0.026582278481012623,0.02493254728865803,0.028232009673367215,3.396588579996023,3.3213108674172664,3.47186629257478,0.826170540007297,0.8017527053383385,0.8505883746762554
