accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,auc,pr_auc,brier,experiment,seed,n_train,n_test,train_time_sec,predict_time_sec
0.9663346362375488,0.9654772265738324,0.957422324510932,0.9732884399551066,0.9614329048100534,0.9315904575716148,0.0267115600448933,0.0425776754890678,3328,4336,119,148,0.9939204731111138,0.9925788312225726,0.0357599255167713,DISJOINT_AverageScore,42,31723,7931,0.0,0.0042392000323161
0.9663346362375488,0.9654772265738324,0.957422324510932,0.9732884399551066,0.9614329048100534,0.9315904575716148,0.0267115600448933,0.0425776754890678,3328,4336,119,148,0.9653553822330194,0.943030401228472,0.0336653637624511,DISJOINT_TrueMajorityVote,42,31723,7931,0.0,0.002745900012087
0.9728911864834195,0.964133219470538,0.9743958573072498,0.9717171717171718,0.9692373730147374,0.945050096194858,0.0282828282828282,0.0256041426927502,3387,4329,126,89,0.9963431140454538,0.995739237003593,0.0200722745147462,DISJOINT_LearnedLateFusion,42,31723,7931,0.0760030999663285,0.0017752000130712
0.9737737990165176,0.964468447981808,0.9761219792865362,0.9719416386083052,0.9702602230483272,0.9468612369416896,0.0280583613916947,0.0238780207134637,3393,4330,125,83,0.9966883384413112,0.9961017868855888,0.0198016221926459,DISJOINT_TrustGraphArbitration,42,31723,7931,3.4325492999632843,0.8233428000239655
0.9736477115117892,0.9639307015052542,0.976409666283084,0.971492704826038,0.9701300557381736,0.9466186148492626,0.0285072951739618,0.0235903337169159,3394,4328,127,82,0.9967311524657134,0.9961909552597438,0.0199223018208176,DISJOINT_QuantumInspiredTrustGraph,42,31723,7931,3.869525699992664,0.8743970000068657
0.9635607111335268,0.9679882525697504,0.948216340621404,0.9755331088664422,0.958000290655428,0.9259810472139404,0.0244668911335578,0.051783659378596,3296,4346,109,180,0.9927861274811792,0.9914623744350364,0.0374656631249719,DISJOINT_AverageScore,43,31723,7931,0.0,0.0041714000399224
0.9635607111335268,0.9679882525697504,0.948216340621404,0.9755331088664422,0.958000290655428,0.9259810472139404,0.0244668911335578,0.051783659378596,3296,4346,109,180,0.961874724743923,0.9405580294672868,0.0364392888664733,DISJOINT_TrueMajorityVote,43,31723,7931,0.0,0.0034018000005744
0.9720085739503216,0.9667240390131956,0.969505178365938,0.9739618406285072,0.9681126113185866,0.9431719733084404,0.0260381593714927,0.0304948216340621,3370,4339,116,106,0.9959421603840476,0.9952360970956412,0.0212205175258621,DISJOINT_LearnedLateFusion,43,31723,7931,0.0750803999835625,0.0017592000076547
0.9725129239692346,0.9662278191184888,0.9712313003452244,0.97351290684624,0.968723098995696,0.944216990681592,0.0264870931537598,0.0287686996547756,3376,4337,118,100,0.9961544223722972,0.9954563722829268,0.0207736226148976,DISJOINT_TrustGraphArbitration,43,31723,7931,3.5321207999950275,0.8176370000001043
0.9723868364645064,0.965418691054587,0.97180667433832,0.9728395061728397,0.9686021505376344,0.9439762415452712,0.0271604938271604,0.02819332566168,3378,4334,121,98,0.9961291407877524,0.995584364795172,0.0207654908294548,DISJOINT_QuantumInspiredTrustGraph,43,31723,7931,3.9651326999883167,0.9004012999939732
