accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,brier,experiment,seed,n_train,n_test,train_time_sec,predict_time_sec,multichannel_test_rows,pair_interaction_activation_rate
0.9739031770045385,0.970910138248848,0.9695139488064424,0.9773288439955107,0.9702115412289538,0.9469930455319878,0.022671156004489337,0.030486051193557663,3371,4354,101,106,0.9955155039998296,0.9949141586547446,0.03197164801784314,DISJOINT_V1_AverageScore,45,31722,7932,0.0,0.0017970000008062925,0,0.0
0.9739031770045385,0.970910138248848,0.9695139488064424,0.9773288439955107,0.9702115412289538,0.9469930455319878,0.022671156004489337,0.030486051193557663,3371,4354,101,106,0.9734213964009766,0.9546745125892645,0.026096822995461424,DISJOINT_V2_TrueMajorityVote,45,31722,7932,0.0,0.0015031000002636574,0,0.0
0.9759203227433182,0.9713138267355135,0.9738280126545873,0.9775533108866442,0.9725692948441763,0.9511136193457785,0.02244668911335578,0.026171987345412713,3386,4355,100,91,0.9969842224371992,0.9965305321480667,0.018801672210596785,DISJOINT_V3_LearnedLateFusion,45,31722,7932,0.028676999998424435,0.0017818000014813151,0,0.0
0.9759203227433182,0.9713138267355135,0.9738280126545873,0.9775533108866442,0.9725692948441763,0.9511136193457785,0.02244668911335578,0.026171987345412713,3386,4355,100,91,0.9969936478516672,0.99654096104676,0.018811257979121917,DISJOINT_V4_TGA,45,31722,7932,3.150903500001732,0.8163415999988501,0,0.0
0.975542107917297,0.9710186513629843,0.9732528041415013,0.9773288439955107,0.9721344441252514,0.950343632432,0.022671156004489337,0.026747195858498704,3384,4354,101,93,0.9969221179939233,0.9964145600618771,0.01891312279075106,DISJOINT_V5_RFF_Control,45,31722,7932,0.3947907000001578,0.04930210000020452,0,0.0
0.9760463943519919,0.9689015691868759,0.9767040552200172,0.9755331088664422,0.9727871670008593,0.9514206090342442,0.0244668911335578,0.023295944779982744,3396,4346,109,81,0.986145383144712,0.980200625441569,0.023076829831911744,DISJOINT_V6_QTG_NoEntangle,45,31722,7932,54.62219779999941,0.002332100000785431,0,0.0
0.9760463943519919,0.9689015691868759,0.9767040552200172,0.9755331088664422,0.9727871670008593,0.9514206090342442,0.0244668911335578,0.023295944779982744,3396,4346,109,81,0.986145383144712,0.980200625441569,0.023076829831911744,DISJOINT_V7_QTG_Entangled,45,31722,7932,51.8956634999995,0.0029728000008617528,0,0.0
0.9762985375693394,0.9707987403378185,0.9752660339373023,0.9771043771043771,0.9730272596843615,0.9518975919091817,0.022895622895622896,0.02473396606269773,3391,4353,102,86,0.9957712490643178,0.9958297776309645,0.01875543017109056,DISJOINT_V8_Proposed_RC_QTG,45,31722,7932,53.608530900000915,0.002428799998597242,0,0.0
