accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,brier,modality,outer_seed,split,n
0.9648950131233596,0.9680687073331865,0.9615048118985127,0.9682852143482065,0.9647755953034127,0.9298114000007273,0.031714785651793524,0.03849518810148731,4396,4427,145,176,0.9935216089567982,0.9936189166358552,0.031928472239472046,url,46,outer_train_inner_oof,9144
0.9671916010498688,0.9759358288770054,0.958005249343832,0.9763779527559056,0.9668874172185431,0.9345409454721548,0.023622047244094488,0.04199475065616798,1095,1116,27,48,0.9933767028027882,0.9942573280450463,0.03156744434723437,url,46,outer_test_untouched,2286
0.9911180773249739,0.9961685823754789,0.9719626168224299,0.9985496736765772,0.9839167455061495,0.9779242025973802,0.0014503263234227702,0.028037383177570093,520,1377,2,15,0.9977038758954409,0.9969240550056434,0.009963178326942048,email,46,outer_train_inner_oof,1914
0.9916492693110647,1.0,0.9701492537313433,1.0,0.9848484848484849,0.9793008039294308,0.0,0.029850746268656716,130,345,0,4,0.99978369024443,0.9994628432695657,0.008751150747491804,email,46,outer_test_untouched,479
0.9716981132075472,0.972972972972973,0.8582183186951067,0.9950866304628911,0.912,0.8977190218061852,0.00491336953710887,0.14178168130489335,684,3848,19,113,0.9858848104752792,0.9644902155400205,0.02516306641161833,sms,46,outer_train_inner_oof,4664
0.9768637532133676,0.9576719576719577,0.905,0.9917269906928645,0.9305912596401028,0.9172509014265485,0.008273009307135471,0.095,181,959,8,19,0.9897673216132367,0.9742057439247044,0.02227766703112279,sms,46,outer_test_untouched,1167
0.98,0.9739570476425574,0.986375,0.973625,0.9801266923363557,0.9600780395148528,0.026375,0.013625,7891,7789,211,109,0.9985310859375001,0.9985555649809403,0.0388682435,qr,46,outer_train_inner_oof,16000
0.981,0.9738916256157636,0.9885,0.9735,0.9811414392059553,0.9621082432663938,0.0265,0.0115,1977,1947,53,23,0.9988695000000001,0.9988694101884547,0.036089897999999995,qr,46,outer_test_untouched,4000
