accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,brier,seed,experiment,modality,n,is_macro_row
0.5,0.5,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,1143.0,0.0,1143.0,0.0,0.5,0.5,0.25380271906610474,45,V0_SourcePrior_MaskOnly,url,2286,0
0.7202505219206681,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,345.0,0.0,134.0,0.5,0.2797494780793319,0.20424362204787955,45,V0_SourcePrior_MaskOnly,email,479,0
0.8286203941730934,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,967.0,0.0,200.0,0.5,0.1713796058269066,0.1434138808181756,45,V0_SourcePrior_MaskOnly,sms,1167,0
0.5,0.5,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,2000.0,0.0,2000.0,0.0,0.5,0.5,0.25380397622224393,45,V0_SourcePrior_MaskOnly,qr,4000,0
,,,,0.3333333333333333,,,,,,,,,,,45,V0_SourcePrior_MaskOnly,MACRO,7932,1
0.9593175853018373,0.961335676625659,0.9571303587051618,0.9615048118985127,0.9592284085927225,0.9186439601579831,0.03849518810148731,0.04286964129483815,1094.0,1099.0,44.0,49.0,0.9910700685598902,0.991993853420993,0.03207403243294568,45,V4_TGA_CACHED,url,2286,0
0.9979123173277662,0.9925925925925926,1.0,0.9971014492753624,0.9962825278810409,0.9948444665444259,0.002898550724637681,0.0,134.0,344.0,1.0,0.0,0.9999351070733291,0.9998329187241266,0.002143452343574825,45,V4_TGA_CACHED,email,479,0
0.9820051413881749,0.958974358974359,0.935,0.9917269906928645,0.9468354430379747,0.936115871596473,0.008273009307135471,0.065,187.0,959.0,8.0,13.0,0.9949793174767322,0.986346960906276,0.014472668900323697,45,V4_TGA_CACHED,sms,1167,0
0.981,0.9767096134786918,0.9855,0.9765,0.9810851169736187,0.9620389633670404,0.0235,0.0145,1971.0,1953.0,47.0,29.0,0.99867475,0.9987050867597858,0.014493335467357786,45,V4_TGA_CACHED,qr,4000,0
,,,,0.9708578741213392,,,,,,,,,,,45,V4_TGA_CACHED,MACRO,7932,1
0.9593175853018373,0.9581151832460733,0.9606299212598425,0.958005249343832,0.9593709043250328,0.9186383348141612,0.04199475065616798,0.03937007874015748,1098.0,1095.0,48.0,45.0,0.9910700685598902,0.9919938121175699,0.03193642697279656,45,V5_RFF_CACHED,url,2286,0
0.9979123173277662,0.9925925925925926,1.0,0.9971014492753624,0.9962825278810409,0.9948444665444259,0.002898550724637681,0.0,134.0,344.0,1.0,0.0,0.9999351070733291,0.9998329187241266,0.0022774437900144285,45,V5_RFF_CACHED,email,479,0
0.9794344473007712,0.9731182795698925,0.905,0.9948293691830403,0.9378238341968912,0.9263976034951638,0.005170630816959669,0.095,181.0,962.0,5.0,19.0,0.9949793174767322,0.986346960906276,0.015527989483869836,45,V5_RFF_CACHED,sms,1167,0
0.981,0.9767096134786918,0.9855,0.9765,0.9810851169736187,0.9620389633670404,0.0235,0.0145,1971.0,1953.0,47.0,29.0,0.9986747499999999,0.9987050867597859,0.01445003965333286,45,V5_RFF_CACHED,qr,4000,0
,,,,0.9686405958441459,,,,,,,,,,,45,V5_RFF_CACHED,MACRO,7932,1
0.9597550306211724,0.955767562879445,0.9641294838145232,0.9553805774278216,0.9599303135888502,0.919545254458896,0.04461942257217848,0.03587051618547681,1102.0,1092.0,51.0,41.0,0.9612725027919191,0.9553121750591159,0.04315888965715888,45,V7_QTG_Pair_CACHED,url,2286,0
0.9958246346555324,0.9852941176470589,1.0,0.9942028985507246,0.9925925925925926,0.9897384844946086,0.005797101449275362,0.0,134.0,343.0,2.0,0.0,0.9979883192731993,0.9913474121795024,0.0041199889888154295,45,V7_QTG_Pair_CACHED,email,479,0
0.9828620394173093,0.9545454545454546,0.945,0.9906928645294726,0.949748743718593,0.9394357190698513,0.009307135470527405,0.055,189.0,958.0,9.0,11.0,0.9716080661840745,0.948948177129045,0.01850249507438422,45,V7_QTG_Pair_CACHED,sms,1167,0
0.981,0.9767096134786918,0.9855,0.9765,0.9810851169736187,0.9620389633670404,0.0235,0.0145,1971.0,1953.0,47.0,29.0,0.9971140000000001,0.9975595012374648,0.015204576498252444,45,V7_QTG_Pair_CACHED,qr,4000,0
,,,,0.9708391917184136,,,,,,,,,,,45,V7_QTG_Pair_CACHED,MACRO,7932,1
0.9597550306211724,0.9573542210617929,0.9623797025371829,0.9571303587051618,0.9598603839441536,0.9195227303347996,0.04286964129483815,0.03762029746281715,1100.0,1094.0,49.0,43.0,0.9909736239225565,0.9919565527133453,0.032403094298504964,45,V8_RC_QTG_CACHED,url,2286,0
