accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,brier,seed,experiment,modality,n,is_macro_row
0.5,0.5,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,1143.0,0.0,1143.0,0.0,0.5,0.5,0.25380271906610474,43,V0_SourcePrior_MaskOnly,url,2286,0
0.7202505219206681,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,345.0,0.0,134.0,0.5,0.2797494780793319,0.20424361891996268,43,V0_SourcePrior_MaskOnly,email,479,0
0.8286203941730934,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,967.0,0.0,200.0,0.5,0.1713796058269066,0.1434138808181756,43,V0_SourcePrior_MaskOnly,sms,1167,0
0.5,0.5,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,2000.0,0.0,2000.0,0.0,0.5,0.5,0.25380397622224393,43,V0_SourcePrior_MaskOnly,qr,4000,0
,,,,0.3333333333333333,,,,,,,,,,,43,V0_SourcePrior_MaskOnly,MACRO,7932,1
0.9645669291338582,0.9682539682539683,0.9606299212598425,0.968503937007874,0.9644268774703557,0.9291626628143503,0.031496062992125984,0.03937007874015748,1098.0,1107.0,36.0,45.0,0.9933701966169365,0.9940525124319994,0.027540343116401435,43,V4_TGA_CACHED,url,2286,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,134.0,345.0,0.0,0.0,1.0,1.0,0.0011224378849974811,43,V4_TGA_CACHED,email,479,0
0.9820051413881749,0.958974358974359,0.935,0.9917269906928645,0.9468354430379747,0.936115871596473,0.008273009307135471,0.065,187.0,959.0,8.0,13.0,0.9934281282316443,0.9816031844258054,0.015840651401808903,43,V4_TGA_CACHED,sms,1167,0
0.98375,0.9768358797437161,0.991,0.9765,0.9838669645073219,0.9676017244784598,0.0235,0.009,1982.0,1953.0,47.0,18.0,0.9990824999999999,0.9991238828442068,0.011343040352624584,43,V4_TGA_CACHED,qr,4000,0
,,,,0.9737823212539131,,,,,,,,,,,43,V4_TGA_CACHED,MACRO,7932,1
0.9645669291338582,0.9682539682539683,0.9606299212598425,0.968503937007874,0.9644268774703557,0.9291626628143503,0.031496062992125984,0.03937007874015748,1098.0,1107.0,36.0,45.0,0.9933701966169365,0.9940525124319994,0.02772563948301265,43,V5_RFF_CACHED,url,2286,0
0.9958246346555324,0.9852941176470589,1.0,0.9942028985507246,0.9925925925925926,0.9897384844946086,0.005797101449275362,0.0,134.0,343.0,2.0,0.0,1.0,1.0,0.002962695192598606,43,V5_RFF_CACHED,email,479,0
0.9820051413881749,0.958974358974359,0.935,0.9917269906928645,0.9468354430379747,0.936115871596473,0.008273009307135471,0.065,187.0,959.0,8.0,13.0,0.9934281282316443,0.9816031844258054,0.016143413048866392,43,V5_RFF_CACHED,sms,1167,0
0.984,0.9773175542406312,0.991,0.977,0.9841112214498511,0.9680948779472861,0.023,0.009,1982.0,1954.0,46.0,18.0,0.9990824999999999,0.9991238828442068,0.011291491104718561,43,V5_RFF_CACHED,qr,4000,0
,,,,0.9719915336376936,,,,,,,,,,,43,V5_RFF_CACHED,MACRO,7932,1
0.9658792650918635,0.9658792650918635,0.9658792650918635,0.9658792650918635,0.9658792650918635,0.931758530183727,0.03412073490813648,0.03412073490813648,1104.0,1104.0,39.0,39.0,0.966451426730014,0.9545720245181367,0.03725846643638841,43,V7_QTG_Pair_CACHED,url,2286,0
0.9979123173277662,0.9925925925925926,1.0,0.9971014492753624,0.9962825278810409,0.9948444665444259,0.002898550724637681,0.0,134.0,344.0,1.0,0.0,1.0,1.0,0.0022822428480556286,43,V7_QTG_Pair_CACHED,email,479,0
0.9794344473007712,0.9444444444444444,0.935,0.9886246122026887,0.9396984924623115,0.9273191926621932,0.011375387797311272,0.065,187.0,956.0,11.0,13.0,0.9697001034126164,0.9312074369239838,0.020389953896757088,43,V7_QTG_Pair_CACHED,sms,1167,0
0.984,0.9777887462981244,0.9905,0.9775,0.9841033283656234,0.9680818063691033,0.0225,0.0095,1981.0,1955.0,45.0,19.0,0.99772925,0.9983142734732534,0.011735257063827895,43,V7_QTG_Pair_CACHED,qr,4000,0
,,,,0.9714909034502098,,,,,,,,,,,43,V7_QTG_Pair_CACHED,MACRO,7932,1
0.9658792650918635,0.9666958808063103,0.9650043744531933,0.9667541557305337,0.9658493870402802,0.9317599565856298,0.033245844269466314,0.03499562554680665,1103.0,1105.0,38.0,40.0,0.9930992331120464,0.9939463944009742,0.027726378849543227,43,V8_RC_QTG_CACHED,url,2286,0
0.9958246346555324,0.9852941176470589,1.0,0.9942028985507246,0.9925925925925926,0.9897384844946086,0.005797101449275362,0.0,134.0,343.0,2.0,0.0,1.0,1.0,0.0025961059948060253,43,V8_RC_QTG_CACHED,email,479,0
0.9785775492716366,0.9353233830845771,0.94,0.9865563598759048,0.9376558603491272,0.9247268852178971,0.01344364012409514,0.06,188.0,954.0,13.0,12.0,0.9934281282316443,0.9816031844258054,0.016037546251257754,43,V8_RC_QTG_CACHED,sms,1167,0
