accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,brier,seed,experiment,modality,n,is_macro_row
0.5,0.5,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,1143.0,0.0,1143.0,0.0,0.5,0.5,0.25380272641729107,44,V0_SourcePrior_MaskOnly,url,2286,0
0.7202505219206681,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,345.0,0.0,134.0,0.5,0.2797494780793319,0.20424361891996268,44,V0_SourcePrior_MaskOnly,email,479,0
0.8286203941730934,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,967.0,0.0,200.0,0.5,0.1713796058269066,0.1434138808181756,44,V0_SourcePrior_MaskOnly,sms,1167,0
0.5,0.5,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,2000.0,0.0,2000.0,0.0,0.49999999999999994,0.5,0.2538039762443011,44,V0_SourcePrior_MaskOnly,qr,4000,0
,,,,0.3333333333333333,,,,,,,,,,,44,V0_SourcePrior_MaskOnly,MACRO,7932,1
0.9663167104111986,0.968365553602812,0.9641294838145232,0.968503937007874,0.966242875931609,0.9326423443127714,0.031496062992125984,0.03587051618547681,1102.0,1107.0,36.0,41.0,0.9937655430866417,0.9941074023486391,0.025552055228600958,44,V4_TGA_CACHED,url,2286,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,134.0,345.0,0.0,0.0,1.0,1.0,0.00038482295562120033,44,V4_TGA_CACHED,email,479,0
0.9700085689802913,0.9230769230769231,0.9,0.984488107549121,0.9113924050632911,0.8934490567670001,0.015511892450879007,0.1,180.0,952.0,15.0,20.0,0.9868407445708377,0.9665369861364874,0.023959784086744405,44,V4_TGA_CACHED,sms,1167,0
0.98175,0.9819909954977488,0.9815,0.982,0.9817454363590897,0.9635001204375225,0.018,0.0185,1963.0,1964.0,36.0,37.0,0.99867275,0.9986980655924966,0.013877020982462965,44,V4_TGA_CACHED,qr,4000,0
,,,,0.9648451793384974,,,,,,,,,,,44,V4_TGA_CACHED,MACRO,7932,1
0.9676290463692039,0.9676290463692039,0.9676290463692039,0.9676290463692039,0.9676290463692039,0.9352580927384077,0.03237095363079615,0.03237095363079615,1106.0,1106.0,37.0,37.0,0.9937659258034566,0.994108039976231,0.025425144535826175,44,V5_RFF_CACHED,url,2286,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,134.0,345.0,0.0,0.0,1.0,1.0,0.0009720268071179341,44,V5_RFF_CACHED,email,479,0
0.9682947729220223,0.9054726368159204,0.91,0.9803516028955532,0.9077306733167082,0.8885936141052846,0.01964839710444674,0.09,182.0,948.0,19.0,18.0,0.9844364012409514,0.9658975158814123,0.024870960486474532,44,V5_RFF_CACHED,sms,1167,0
0.9815,0.9824649298597194,0.9805,0.9825,0.9814814814814815,0.963001926005778,0.0175,0.0195,1961.0,1965.0,35.0,39.0,0.998672875,0.9986983024357351,0.013882635701348971,44,V5_RFF_CACHED,qr,4000,0
,,,,0.9642103002918484,,,,,,,,,,,44,V5_RFF_CACHED,MACRO,7932,1
0.9663167104111986,0.9642857142857143,0.968503937007874,0.9641294838145232,0.9663902226102139,0.9326423443127714,0.03587051618547681,0.031496062992125984,1107.0,1102.0,41.0,36.0,0.9726051303954458,0.9660229621673684,0.035392132108018136,44,V7_QTG_Pair_CACHED,url,2286,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,134.0,345.0,0.0,0.0,1.0,1.0,0.0013514874932549566,44,V7_QTG_Pair_CACHED,email,479,0
0.9691516709511568,0.9141414141414141,0.905,0.9824198552223371,0.9095477386934674,0.8909696134392189,0.017580144777662874,0.095,181.0,950.0,17.0,19.0,0.9333815925542917,0.8900442308323896,0.030548251414752186,44,V7_QTG_Pair_CACHED,sms,1167,0
0.9815,0.9824649298597194,0.9805,0.9825,0.9814814814814815,0.963001926005778,0.0175,0.0195,1961.0,1965.0,35.0,39.0,0.9963542500000001,0.9969341950650021,0.014907224715522483,44,V7_QTG_Pair_CACHED,qr,4000,0
,,,,0.9643548606962907,,,,,,,,,,,44,V7_QTG_Pair_CACHED,MACRO,7932,1
0.9667541557305337,0.965938864628821,0.9676290463692039,0.9658792650918635,0.9667832167832168,0.9335097405416592,0.03412073490813648,0.03237095363079615,1106.0,1104.0,39.0,37.0,0.9936338885023449,0.9940619875051672,0.025504157642007898,44,V8_RC_QTG_CACHED,url,2286,0
0.9979123173277662,0.9925925925925926,1.0,0.9971014492753624,0.9962825278810409,0.9948444665444259,0.002898550724637681,0.0,134.0,344.0,1.0,0.0,1.0,1.0,0.0010853999424848763,44,V8_RC_QTG_CACHED,email,479,0
0.9682947729220223,0.9054726368159204,0.91,0.9803516028955532,0.9077306733167082,0.8885936141052846,0.01964839710444674,0.09,182.0,948.0,19.0,18.0,0.982957600827301,0.9656366290141458,0.02617191216868248,44,V8_RC_QTG_CACHED,sms,1167,0
0.98125,0.983911513323278,0.9785,0.984,0.9811982953121083,0.9625145581427887,0.016,0.0215,1957.0,1968.0,32.0,43.0,0.99867275,0.9986980655924969,0.013927286330325469,44,V8_RC_QTG_CACHED,qr,4000,0
,,,,0.9629986783232685,,,,,,,,,,,44,V8_RC_QTG_CACHED,MACRO,7932,1
0.9654418197725284,0.9699646643109541,0.9606299212598425,0.9702537182852143,0.9652747252747252,0.9309267505831068,0.02974628171478565,0.03937007874015748,1098.0,1109.0,34.0,45.0,0.9811213449587393,0.9749474325675456,0.03027017804166519,44,V9A_RC_QTG_ReliabilityCircuitOnly,url,2286,0
