accuracy,precision,recall,specificity,f1,mcc,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,brier,experiment,seed,n_train,n_test,train_time_sec,predict_time_sec,feature_dim,source,pair_interaction_activation_rate,multichannel_test_rows
0.5616490166414524,0.5,0.903940178314639,0.29450056116722784,0.6438594694253815,0.24280349425112197,0.7054994388327722,0.09605982168536094,3143,1312,3143,334,0.601175755897259,0.4958528818343631,0.2345695446744963,V0_SourcePrior_MaskOnly,46,31722,7932,0.013443500036373734,0.001236200041603297,4.0,v9_new,0.0,
0.9781896116994453,0.9780092592592593,0.9721023871153293,0.9829405162738496,0.9750468772537141,0.9556902944310989,0.017059483726150394,0.027897612884670693,3380,4379,76,97,0.9930964649208346,0.9853356847724106,0.018857298558191547,V9A_RC_QTG_ReliabilityCircuitOnly,46,31722,7932,0.03683099994668737,0.002334500022698194,20.0,v9_new,0.0,
0.9774331820474029,0.9719519175729823,0.9767040552200172,0.9780022446689113,0.9743221919380289,0.9542032438833985,0.021997755331088664,0.023295944779982744,3396,4357,98,81,0.997239128252454,0.9968088826577602,0.01775647177587655,V9B_QTG_Pair_PostQuantumFeaturesOnly,46,31722,7932,0.059931499999947846,0.0017383999656885862,24.0,v9_new,0.0,
0.9774331820474029,0.9722222222222222,0.9764164509634743,0.9782267115600449,0.9743148227866265,0.9541983545113465,0.021773288439955105,0.02358354903652574,3395,4358,97,82,0.9972985212751295,0.9968716515108393,0.017759370807028153,V9C_QTG_Pair_ActiveScoreSkipOnly,46,31722,7932,0.053489399957470596,0.0020263000042177737,21.0,v9_new,0.0,
0.9774331820474028,0.9733065442020666,0.9752660339373024,0.9791245791245792,0.9742853038356558,0.9541812894897744,0.0208754208754208,0.0247339660626977,3391,4362,93,86,0.9971816074011454,0.9967153194131468,0.0177094847866019,V4_TGA_CACHED,46,31722,7932,3.3214360999991186,0.7795466000025044,,cached_v8,0.0,0.0
0.9774331820474028,0.9724928366762178,0.9761288467069312,0.9784511784511783,0.9743074494043348,0.954193714297566,0.0215488215488215,0.0238711532930687,3394,4359,96,83,0.997177411154978,0.996765938764585,0.017774701230539,V5_RFF_CACHED,46,31722,7932,0.3386875000032887,0.0494370999986131,,cached_v8,0.0,0.0
0.9774331820474028,0.9714122355631788,0.9772792637331033,0.9775533108866442,0.974336917562724,0.954213769753084,0.0224466891133557,0.0227207362668967,3398,4355,100,79,0.9873829852547138,0.9812058489857006,0.0215996497329788,V7_QTG_Pair_CACHED,46,31722,7932,52.6935616999981,0.0027558999972825,,cached_v8,0.0,0.0
0.9781896116994452,0.9738955823293172,0.9764164509634744,0.9795735129068462,0.9751543874766624,0.9557209628737628,0.0204264870931537,0.0235835490365257,3395,4364,91,82,0.9958425529703452,0.995864878413148,0.0178465862375658,V8_RC_QTG_CACHED,46,31722,7932,54.586163200001465,0.0028103000004193,,cached_v8,0.0,0.0
