accuracy,precision,recall,f1,auc,experiment,train_time_sec,predict_time_sec,n_train,n_test
0.757436112274822,0.7356426618049225,0.7363138686131386,0.7359781121751026,0.8663727546687623,Agentic_MajorityVote_Baseline,0.0273,0.0024,9545,2387
0.7712609970674487,0.7425044091710759,0.7682481751824818,0.7551569506726458,0.8852524071760135,Agentic_RiskArbitration_X,0.5226,0.0084,9545,2387
0.7712609970674487,0.7105666156202144,0.8467153284671532,0.7726894254787677,0.8852117692955725,Agentic_QuantumArbitration_X,0.2043,0.0456,9545,2387
